fundcode,name,category
000141,富国国有企业债债券C,债券型
000142,融通增强收益债券A,债券型
000143,鹏华双债加利债券,债券型
000147,易方达高等级信用债债券A,债券型
000148,易方达高等级信用债债券C,债券型
000149,华安双债添利债券A,债券型
000150,华安双债添利债券C,债券型
000152,大成景旭纯债债券A,债券型
000153,大成景旭纯债债券C,债券型
000154,富国沪深300指数增强(后端),股票指数
000155,富国通胀通缩主题轮动混合(后端),混合型
000157,富国全球科技互联网(QDII)(后端),QDII
000158,富国低碳环保混合(后端),混合型
000159,富国高新技术产业混合(后端),混合型
000160,富国强回报定开债A/B(后端),定开债券
000161,富国宏观策略灵活配置混合(后端),混合型
000162,富国中国中小盘混合(后端),QDII
000164,富国上证综指ETF联接(后端),联接基金
000165,国投瑞银策略精选混合,混合型
000166,中海信息产业精选混合,混合型
000167,广发聚优灵活配置混合A,混合型
000171,易方达裕丰回报债券,债券型
000172,华泰柏瑞量化增强混合A,混合型
000173,汇添富美丽30混合,混合型
000174,汇添富高息债债券A,债券型
000175,汇添富高息债债券C,债券型
000176,嘉实沪深300指数研究增强,股票指数
000179,广发美国房地产指数,QDII-指数
000180,广发美国房地产指数现汇,QDII-指数
000181,景顺长城四季金利债券A,债券型
000182,景顺长城四季金利债券C,债券型
000183,嘉实丰益策略定期债券,定开债券
000184,工银添福债券A,债券型
000185,工银添福债券B,债券型
000186,华泰柏瑞季季红债券,债券型
000187,华泰柏瑞丰盛纯债债券A,债券型
000188,华泰柏瑞丰盛纯债债券C,债券型
000189,易方达丰华债券A,债券型
000190,中银新回报灵活配置混合,混合型
000191,富国信用债债券A/B,债券型
000192,富国信用债债券C,债券型
000194,银华信用四季红债券A,债券型
000195,工银成长收益混合A,混合型
000196,工银成长收益混合B,混合型
000197,富国目标收益一年期纯债债券,定开债券
000198,天弘余额宝货币,货币型
000199,国泰量化策略收益混合,混合型
000200,博时岁岁增利一年定开债,定开债券
000201,诺安泰鑫一年定开债A,定开债券
000203,国富日日收益货币A,货币型
000204,国富日日收益货币B,货币型
000205,易方达投资级信用债债券A,债券型
000206,易方达投资级信用债债券C,债券型
000207,建信双债增强债券A,债券型
000208,建信双债增强债券C,债券型
000209,信诚新兴产业混合,混合型
000210,光大现金宝货币A,货币型
000211,光大现金宝货币B,货币型
000212,泰信鑫益定期开放A,定开债券
000213,泰信鑫益定期开放C,定开债券
000214,广发成长优选混合,混合型
000215,广发趋势优选灵活配置混合A,混合型
000216,华安黄金易ETF联接A,联接基金
000217,华安黄金易ETF联接C,联接基金
000218,国泰黄金ETF联接A,联接基金
000219,博时裕益混合,混合型
000220,富国医疗保健行业混合,混合型
000221,汇添富年年利定开债A,定开债券
000222,汇添富年年利定开债C,定开债券
000225,长盛年年收益定期债券A,定开债券
000226,长盛年年收益定期债券C,定开债券
000227,华安年年红债券A,定开债券
000235,诺安稳固收益一年定开债,定开债券
000236,工银月月薪定期支付债券A,债券型
000239,华安年年盈定开债A,定开债券
000240,华安年年盈定开债C,定开债券
000241,宝盈核心优势混合C,混合型
000242,景顺长城策略精选灵活配置混合,混合型
000244,天弘稳利定期开放A,定开债券
000245,天弘稳利定期开放B,定开债券
000246,博时月月薪定期支付债券,定开债券
000248,汇添富中证主要消费ETF联接,联接基金
000251,工银金融地产混合,混合型
000252,景顺长城景兴信用纯债债券A,债券型
000253,景顺长城景兴信用纯债债券C,债券型
000254,长城定开债A,定开债券
000255,长城定开债C,定开债券
000256,上投摩根红利回报混合A,混合型
000259,农银区间收益混合,混合型
000263,工银信息产业混合,混合型
000264,博时内需增长混合,混合型
000265,易方达恒久添利1年定开债A,定开债券
000266,易方达恒久添利1年定开债C,定开债券
000267,广发集利一年定开债A,定开债券
000268,广发集利一年定开债C,定开债券
000270,建信灵活配置混合,混合型
000271,中邮定开债A,定开债券
000272,中邮定开债C,定开债券
000273,华润元大安鑫灵活配置混合A,混合型
000274,广发亚太中高收益债券,QDII
000275,广发亚太中高收益债券现汇,QDII
000277,博时双月薪定期支付债券,定开债券
000279,华商红利优选混合,混合型
000286,银华信用季季红债券A,债券型
000289,鹏华丰泰定开债A,定开债券
000290,鹏华全球高收益债(QDII),QDII
000294,华安生态优先混合,混合型
000295,鹏华丰实定开债A,定开债券
000296,鹏华丰实定开债B,定开债券
000297,鹏华可转债债券,债券型
000298,中海纯债债券A,债券型
000299,中海纯债债券C,债券型
000300,德邦德利货币A,货币型
000301,德邦德利货币B,货币型
000305,中银中高等级A,债券型
000306,天弘弘利债券,债券型
000307,易方达黄金ETF联接A,联接基金
000308,建信创新中国混合,混合型
000309,大摩品质生活精选股票,股票型
000310,安信永利信用A,定开债券
000311,景顺长城沪深300指数增强,股票指数
000312,华安沪深300增强A,股票指数
000313,华安沪深300增强C,股票指数
000314,招商瑞丰灵活配置混合发起式A,混合型
000316,中海瑞利六个月定开债,定开债券
000319,泰达淘利债券A,债券型
000320,泰达淘利债券C,债券型
000322,农银14天理财债券A,理财型
000323,农银14天理财债券B,理财型
000324,华润元大现金收益货币A,货币型
000325,华润元大现金收益货币B,货币型
000326,南方中小盘成长股票,股票型
000327,南方新蓝筹混合,混合型
000328,上投摩根转型动力灵活配置混合,混合型
000329,鹏华丰饶定开债,定开债券
000330,汇添富现金宝货币,货币型
000331,中加货币A,货币型
000332,中加货币C,货币型
000333,长城稳固收益债券A,债券型
000334,长城稳固收益债券C,债券型
000335,安信永利信用C,定开债券
000336,农银研究精选混合,混合型
000338,鹏华双债保利债券,债券型
000339,长城医疗保健混合,混合型
000341,嘉实新兴市场C2(QDII),QDII
000342,嘉实新兴市场A1(QDII),QDII
000343,华夏财富宝货币A,货币型
000345,鹏华丰融定开债,定开债券
000346,建信安心回报6个月定开A,定开债券
000347,建信安心回报6个月定开C,定开债券
000351,国富恒丰定期债券A,定开债券
000352,国富恒丰定期债券C,定开债券
000354,长盛城镇化主题混合,混合型
000355,南方丰元信用增强债券A,债券型
000356,南方丰元信用增强债券C,债券型
000359,易方达易理财货币A,货币型
000360,信诚年年有余定开债A,定开债券
000361,信诚年年有余定开债B,定开债券
000362,国泰聚信价值优势混合A,混合型
000363,国泰聚信价值优势混合C,混合型
000366,汇添富添富通货币A,货币型
000367,国泰安康定期支付混合A,混合型
000368,汇添富沪深300安中指数,股票指数
000369,广发全球医疗保健(QDII),QDII-指数
000370,广发全球医疗保健美元,QDII-指数
000371,民生加银现金宝货币A,货币型
000372,中银惠利半年定开债,定开债券
000373,华安中证细分医药ETF联接A,联接基金
000376,华安中证细分医药ETF联接C,联接基金
000377,上投摩根双债增利债券A,债券型
000378,上投摩根双债增利债券C,债券型
000379,平安日增利货币,货币型
000380,景顺长城景益货币A,货币型
000381,景顺长城景益货币B,货币型
000385,景顺长城景颐双利债券A,债券型
000386,景顺长城景颐双利债券C,债券型
000389,广发天天红货币A,货币型
000390,华商优势行业混合,混合型
000394,融通通源短融债券A,债券型
000395,汇添富安心中国债券A,债券型
000396,汇添富安心中国债券C,债券型
000397,汇添富全额宝货币,货币型
000398,华富灵活配置混合,混合型
000400,中融增鑫定开债A,定开债券
000401,中融增鑫定开债C,定开债券
000402,工银纯债债券A,债券型
000403,工银纯债债券B,债券型
000404,易方达新兴成长灵活配置,混合型
000406,汇添富双利增强债券A,债券型
000407,汇添富双利增强债券C,债券型
000408,民生加银城镇化混合,混合型
000409,鹏华环保产业股票,股票型
000410,益民服务领先混合,混合型
000411,景顺长城优质成长股票,股票型
000414,嘉实绝对收益策略定期混合,混合型
000415,大摩添利18个月定开债A,定开债券
000416,大摩添利18个月定开债C,定开债券
000417,国联安新精选混合,混合型
000418,景顺长城成长之星股票,股票型
000419,大摩优质信价纯债A,债券型
000420,大摩优质信价纯债C,债券型
000421,华泰柏瑞丰汇债券A,债券型
000422,华泰柏瑞丰汇债券C,债券型
000423,前海开源事件驱动混合A,混合型
000424,长盛添利宝货币A,货币型
000425,长盛添利宝货币B,货币型
000431,鹏华品牌传承混合,混合型
000432,中银优秀企业混合,混合型
000433,安信鑫发优选混合,混合型
000434,新华壹诺宝货币A,货币型
000435,建信稳定添利债券A,债券型
000436,易方达裕惠定开混合发起式,混合型
000437,融通月月添利定开债A,定开债券
000438,融通月月添利定开债B,定开债券
000439,国金鑫盈货币,货币型
000452,南方医药保健灵活配置混合,混合型
000457,上投摩根核心成长股票,股票型
000458,英大领先回报混合发起式,混合型
000459,英大领先回报混合发起式(后端),混合型
000462,农银主题轮动混合,混合型
000463,华商双债丰利债券A,债券型
000464,嘉实活期宝货币,货币型
000465,景顺长城鑫月薪定期支付债券,定开债券
000466,融通通瑞债券A/B,债券型
000469,富国目标齐利一年期纯债债券,定开债券
000470,富国目标齐利一年期纯债债券(后端),定开债券
000471,富国城镇发展股票,股票型
000472,富国城镇发展股票(后端),股票型
000475,广发天天利货币A,货币型
000476,广发天天利货币B,货币型
000477,广发主题领先混合,混合型
000478,建信中证500指数增强A,股票指数
000480,东方红新动力混合,混合型
000481,华商双债丰利债券C,债券型
000483,鑫元货币A,货币型
000484,鑫元货币B,货币型
000485,嘉实1个月理财债券A,理财型
000486,嘉实1个月理财债券E,理财型
000487,嘉实3个月理财债券A,理财型
000488,嘉实3个月理财债券E,理财型
000489,光大岁末红利纯债A,债券型
000490,光大岁末红利纯债C,债券型
000493,南方现金通A,货币型
000494,南方现金通B,货币型
000495,南方现金通C,货币型
000496,长安产业精选混合A,混合型
000497,财通纯债债券A,债券型
000501,华富恒富18个月定开债C,定开债券
000502,华富恒富18个月定开债A,定开债券
000503,中信建投景和中短债A,债券型
000504,中信建投景和中短债C,债券型
000505,国寿安保货币A,货币型
000506,国寿安保货币B,货币型
000507,泰达宏利宏达混合A,混合型
000508,泰达宏利宏达混合B,混合型
000509,广发钱袋子货币A,货币型
000511,国泰国策驱动灵活配置混合A,混合型
000512,国泰沪深300指数增强A,股票指数
000513,富国高端制造行业股票,股票型
000514,富国高端制造行业股票(后端),股票型
000516,富国祥利一年期定期开放债券型A,定开债券
000517,富国祥利一年期定期开放债券型C,定开债券
000520,上银新兴价值成长混合,混合型
000521,诺安瑞鑫定开债券,定开债券
000522,华润元大信息传媒科技混合,混合型
000523,国投瑞银医疗保健混合,混合型
000524,上投摩根民生需求股票,股票型
000526,国泰浓益灵活配置混合A,混合型
000527,南方新优享灵活配置混合A,混合型
000528,工银薪金货币A,货币型
000529,广发竞争优势混合,混合型
000530,招商丰盛稳定增长混合A,混合型
000531,东吴阿尔法灵活配置混合,混合型
000532,景顺长城优势企业混合,混合型
000533,永赢货币,货币型
000534,长盛高端装备混合,混合型
000535,长盛航天海工装备灵活配置混合,混合型
000536,前海开源可转债债券,债券型
000538,诺安优势行业混合A,混合型
000539,中银活期宝货币,货币型
000540,国金金腾通货币A,货币型
000541,华商创新成长混合发起式,混合型
000542,上银慧财宝货币A,货币型
000543,上银慧财宝货币B,货币型
000545,中邮核心竞争力灵活配置混合,混合型
000546,兴业定开债A,定开债券
000547,建信健康民生混合,混合型
000548,鹏华聚财通货币,货币型
000549,华安大国新经济股票,股票型
000550,广发新动力混合,混合型
000551,信诚幸福消费混合,混合型
000552,中加纯债一年A,定开债券
000553,中加纯债一年C,定开债券
000554,中国梦灵活配置混合,混合型
000556,国投瑞银新机遇灵活配置混合A,混合型
000557,国投瑞银新机遇灵活配置混合C,混合型
000559,诺安天天宝A,货币型
000560,诺安天天宝E,货币型
000561,南方启元债券A,债券型
000562,南方启元债券C,债券型
000563,南方通利债券A,债券型
000564,南方通利债券C,债券型
000566,华泰柏瑞创新升级混合,混合型
000567,广发聚祥灵活混合,混合型
000569,鹏华增值宝货币,货币型
000572,中银多策略混合,混合型
000573,天弘通利混合,混合型
000574,宝盈新价值混合A,混合型
000575,兴全添利宝货币,货币型
000576,中邮货币A,货币型
000577,安信价值精选股票,股票型
000578,鑫元恒鑫收益增强A,债券型
000579,鑫元恒鑫收益增强C,债券型
000580,中邮货币B,货币型
000581,嘉实活钱包货币A,货币型
000583,江信聚福定开债,定开债券
000584,新华鑫益灵活配置混合,混合型
000585,嘉实对冲套利定期混合,混合型
000586,景顺长城中小板创业板精选股票,股票型
000587,大成灵活配置混合,混合型
000588,招商招钱宝货币A,货币型
000589,光大银发商机混合,混合型
000590,华安新活力混合,混合型
000591,中银健康生活混合,混合型
000592,建信改革红利股票,股票型
000593,易方达标普消费品指数美元现汇A,QDII-指数
000594,大摩进取优选股票,股票型
000595,嘉实泰和混合,混合型
000596,前海开源中证军工指数A,股票指数
000597,中海积极收益混合,混合型
000598,长盛生态环境混合,混合型
000599,信诚薪金宝货币,货币型
000600,汇添富和聚宝货币,货币型
000601,华宝创新优选混合,混合型
000602,富国安益货币,货币型
000603,易方达创新驱动灵活配置混合,混合型
000604,银华多利宝货币A,货币型
000605,银华多利宝货币B,货币型
000606,天弘优选债券,债券型
000607,招商招钱宝货币B,货币型
000609,华商新量化混合,混合型
000612,华宝生态中国混合,混合型
000613,国寿安保沪深300ETF联接,联接基金
000614,华安德国30(DAX)联接,QDII-指数
000615,长城工资宝货币A,货币型
000616,上投摩根优信增利债券A,债券型
000617,上投摩根优信增利债券C,债券型
000618,嘉实薪金宝货币,货币型
000619,东方红产业升级混合,混合型
000620,易方达现金增利货币A,货币型
000621,易方达现金增利货币B,货币型
000625,诺安天天宝B,货币型
000626,大成丰财宝货币A,货币型
000627,大成丰财宝货币B,货币型
000628,大成高新技术产业股票,股票型
000632,中银聚利半年定开债,定开债券
000634,富国天盛灵活配置基金,混合型
000635,富国天盛灵活配置基金(后端),混合型
000638,富国富钱包货币,货币型
000639,宝盈祥瑞混合A,混合型
000640,诺安理财宝货币A,货币型
000641,诺安理财宝货币B,货币型
000642,汇添富货币C,货币型
000644,招商招金宝货币A,货币型
000645,华夏薪金宝货币,货币型
000646,华润元大量化优选混合A,混合型
000647,易方达财富快线货币A,货币型
000648,易方达财富快线货币B,货币型
000649,长城久鑫灵活配置,混合型
000650,汇添富货币D,货币型
000651,招商招金宝货币B,货币型
000652,博时裕隆灵活配置混合,混合型
000654,华商新锐产业混合,混合型
000655,鑫元稳利债券,债券型
000656,前海开源沪深300指数,股票指数
000657,银华活钱宝货币A,货币型
000658,银华活钱宝货币B,货币型
000659,银华活钱宝货币C,货币型
000660,银华活钱宝货币D,货币型
000661,银华活钱宝货币E,货币型
000662,银华活钱宝货币F,货币型
000663,国投瑞银美丽中国混合,混合型
000664,国联安通盈混合A,混合型
000665,博时现金收益货币B,货币型
000667,工银绝对收益混合发起A,混合型
000668,国寿安保尊享债券A,债券型
000669,国寿安保尊享债券C,债券型
000672,工银绝对收益混合发起B,混合型
000674,中海惠祥分级债券,债券型
000675,中海惠祥分级债券A,固定收益
000676,中海惠祥分级债券B,分级杠杆
000677,工银现金货币,货币型
000678,华宝现金宝货币E,货币型
000679,招商丰利灵活配置混合A,混合型
000681,信达澳银慧管家货币A,货币型
000682,信达澳银慧管家货币C,货币型
000683,信达澳银慧管家货币E,货币型
000684,长盛养老健康产业灵活配置混合,混合型
000686,建信嘉薪宝货币A,货币型
000687,南方薪金宝货币,货币型
000688,景顺长城研究精选股票,股票型
000689,前海开源新经济混合,混合型
000690,前海开源大海洋混合,混合型
000692,汇添富双利债券C,债券型
000693,建信现金添利货币A,货币型
000694,鑫元鸿利债券,债券型
000695,大成景益平稳收益混合A,混合型
000696,汇添富环保行业股票,股票型
000697,汇添富移动互联股票,股票型
000698,宝盈科技30混合,混合型
000699,中银薪钱包货币,货币型
000700,泰达宏利货币B,货币型
000701,景顺长城景丰货币A,货币型
000704,易方达天天增利货币A,货币型
000705,易方达天天增利货币B,货币型
000706,中邮多策略灵活配置混合,混合型
000707,景顺长城景丰货币B,货币型
000708,华安安享混合,混合型
000709,华安汇财通货币,货币型
000710,交银现金宝货币A,货币型
000711,嘉实医疗保健股票,股票型
000712,上投摩根天添宝货币A,货币型
000713,上投摩根天添宝货币B,货币型
000714,诺安稳健回报灵活配置混合A,混合型
000715,民生加银家盈理财月度E,理财型
000716,工银薪金货币B,货币型
000717,融通转型三动力灵活配置混合,混合型
000718,融通转型三动力灵活配置混合(后端),混合型
000719,南方现金通E,货币型
000720,南方稳利1年定开债C,定开债券
000721,兴业货币A,货币型
000722,兴业货币B,货币型
000723,建信稳定添利债券C,债券型
000724,大成添利宝货币A,货币型
000725,大成添利宝货币B,货币型
000726,大成添利宝货币E,货币型
000727,融通健康产业灵活配置混合,混合型
000728,工银目标收益一年定开C,定开债券
000729,建信中小盘先锋股票,股票型
000730,博时现金宝货币A,货币型
000731,融通健康产业灵活配置混合(后端),混合型
000734,博时天天增利货币A,货币型
000735,博时天天增利货币B,货币型
000736,诺安聚利债券A,债券型
000737,诺安聚利债券C,债券型
000738,中信建投货币A,货币型
000739,平安新鑫先锋A,混合型
000740,兴银货币B,货币型
000741,兴银货币A,货币型
000742,国泰新经济灵活配置混合,混合型
000743,红塔红土盛世普益混合发起式,混合型
000744,北信瑞丰稳定收益A,债券型
000745,北信瑞丰稳定收益C,债券型
000746,招商行业精选股票基金,股票型
000747,广发逆向策略混合,混合型
000748,广发活期宝货币A,货币型
000750,安信现金增利货币A,货币型
000751,嘉实新兴产业股票,股票型
000753,华宝量化对冲混合A,混合型
000754,华宝量化对冲混合C,混合型
000755,富安达新兴成长混合,混合型
000756,建信潜力新蓝筹股票,股票型
000757,华富智慧城市灵活配置混合,混合型
000758,招商招钱宝货币C,货币型
000759,平安财富宝货币,货币型
000760,工银财富货币A,货币型
000761,国富健康优质生活股票,股票型
000762,汇添富绝对收益定开混合A,混合型
000763,工银新财富灵活配置混合,混合型
000764,万家货币E,货币型
000767,华富国泰民安灵活配置混合,混合型
000771,诺安聚鑫宝货币A,货币型
000772,景顺长城中国回报灵活配置混合,混合型
000773,万家现金宝A,货币型
000778,鹏华先进制造股票,股票型
000779,诺安聚鑫宝货币B,货币型
000780,鹏华医疗保健股票,股票型
000783,博时季季享持有期A,债券型
000784,博时季季享持有期B,债券型
000785,华融现金增利货币A,货币型
000786,华融现金增利货币B,货币型
000787,华融现金增利货币C,货币型
000788,前海开源中国成长混合,混合型
000789,易方达龙宝货币A,货币型
000790,易方达龙宝货币B,货币型
000791,银华双月定期理财债券A,理财型
000792,招商定期宝六个月期理财债券,定开债券
000793,工银高端制造股票,股票型
000794,宝盈睿丰创新混合A/B,混合型
000795,宝盈睿丰创新混合A/B(后端),混合型
000796,宝盈睿丰创新混合C,混合型
000797,方正富邦金小宝货币,货币型
000798,民生加银家盈季度定期宝,理财型
000799,民生加银家盈半年定期宝,定开债券
000800,华商未来主题混合,混合型
000801,中金纯债A,债券型
000802,中金纯债C,债券型
000803,工银研究精选股票,股票型
000804,中信建投稳利混合A,混合型
000805,中银新经济灵活配置混合,混合型
000808,招商招利1个月期理财债券A,债券型
000809,招商招利1个月期理财债券B,债券型
000810,富国收益增强债券A,债券型
000812,富国收益增强债券C,债券型
000814,鑫元合享纯债C,债券型
000815,鑫元合享纯债A,债券型
000816,南方理财金交易型货币A,货币型
000817,中银安心回报,定开债券
000818,诺安天天宝C,货币型
000822,东海美丽中国灵活配置混合,混合型
000823,银华高端制造业混合,混合型
000824,圆信永丰双利A,混合型
000825,圆信永丰双利C,混合型
000826,广发百发100指数A,股票指数
000827,广发百发100指数E,股票指数
000828,泰达转型机遇,股票型
000829,易方达天天发货币A,货币型
000830,易方达天天发货币B,货币型
000831,工银医疗保健股票,股票型
000832,天弘现金管家货币C,货币型
000833,易方达掌柜季季盈理财债券A,理财型
000834,大成纳斯达克100,QDII-指数
000835,华润元大富时中国A50指数,股票指数
000836,国投瑞银钱多宝货币A,货币型
000837,国投瑞银钱多宝货币I,货币型
000839,上投摩根纯债丰利债券A,债券型
000840,上投摩根纯债丰利债券C,债券型
000841,富国新回报灵活配置混合A/B,混合型
000842,富国新回报灵活配置混合A/B(后端),混合型
000843,富国新回报灵活配置混合C,混合型
000844,南方绝对收益,混合型
000845,国投瑞银信息消费混合,混合型
000846,中融货币C,货币型
000847,中融货币A,货币型
000848,工银添益快线货币,货币型
000849,汇丰晋信双核策略混合A,混合型
000850,汇丰晋信双核策略混合C,混合型
000854,鹏华养老产业股票,股票型
000855,上投摩根天添盈货币A,货币型
000856,上投摩根天添盈货币B,货币型
000857,上投摩根天添盈货币E,货币型
000858,融通通瑞债券A/B(后端),债券型
000859,融通通瑞债券C,债券型
000860,银华惠增利货币,货币型
000861,长城货币E,货币型
000862,富国天时货币C,货币型
000863,富国天时货币D,货币型
000866,华宝制造股票,股票型
000867,华宝品质生活股票,股票型
000868,国投瑞银增利宝货币A,货币型
000869,国投瑞银增利宝货币B,货币型
000870,嘉实新收益混合,混合型
000871,北信瑞丰宜投宝A,货币型
000872,北信瑞丰宜投宝B,货币型
000873,华安现金宝货币A,货币型
000874,华安现金宝货币B,货币型
000875,建信稳定得利债券A,债券型
000876,建信稳定得利债券C,债券型
000877,华泰柏瑞量化优选混合,混合型
000878,中海医药健康产业精选混合A,混合型
000879,中海医药健康产业精选混合C,混合型
000880,富国研究精选灵活配置混合,混合型
000882,中金现金管家A,货币型
000883,中金现金管家B,货币型
000884,民生加银优选股票,股票型
000887,上投摩根稳进回报混合,混合型
000889,上投摩根纯债添利债券A,债券型
000890,上投摩根纯债添利债券C,债券型
000891,博时现金宝货币B,货币型
000892,九泰天宝灵活配置混合A,混合型
000893,工银创新动力股票,股票型
000894,中欧睿达定期开放混合,混合型
000895,国寿安保薪金宝货币,货币型
000896,鑫元聚鑫收益增强债A,债券型
000897,鑫元聚鑫收益增强债C,债券型
000898,华富恒稳纯债债券A,债券型
000899,华富恒稳纯债债券C,债券型
000901,国开货币A,货币型
000902,国开货币B,货币型
000903,新华活期添利货币A,货币型
000904,银华回报定开混合,混合型
000905,鹏华安盈宝货币,货币型
000906,广发全球精选股票美元现汇,QDII
000907,农银红利日结货币A,货币型
000908,农银红利日结货币B,货币型
000910,鑫元合丰纯债C,债券型
000911,鑫元合丰纯债A,债券型
000912,英大现金宝货币,货币型
000913,农银医疗保健股票,股票型
000914,中加纯债债券,债券型
000916,前海开源股息率100强股票,股票型
000917,嘉实快线货币A,货币型
000920,易方达财富快线货币Y,货币型
000921,中邮现金驿站货币A,货币型
000922,中邮现金驿站货币B,货币型
000923,中邮现金驿站货币C,货币型
000924,宝盈先进制造混合A,混合型
000925,汇添富外延增长主题股票,股票型
000926,中信建投睿信灵活配置混合A,混合型
000927,博时大中华亚太精选美元现汇,QDII
000928,中融国企改革混合,混合型
000929,博时黄金D,混合型
000930,博时黄金I,混合型
000931,国寿安保尊益信用纯债债券,债券型
000932,前海开源睿远稳健增利混合A,混合型
000933,前海开源睿远稳健增利混合C,混合型
000934,国富大中华精选混合,QDII
000935,浙商汇金转型成长,混合型
000936,博时产业新动力混合A,混合型
000937,华商稳固添利债券A,债券型
000938,华商稳固添利债券C,债券型
000939,中银研究精选灵活配置混合,混合型
000940,富国中小盘精选混合,混合型
000942,广发信息技术联接A,联接基金
000943,工银中高等级信用债债券A,债券型
000944,工银中高等级信用债债券B,债券型
000945,华夏医疗健康混合A,混合型
000946,华夏医疗健康混合C,混合型
000948,华夏沪港通恒生ETF联接A,QDII-指数
000950,易方达沪深300非银联接A,联接基金
000951,中银理财90天债券A,理财型
000952,中银理财90天债券B,理财型
000953,国泰睿吉灵活配置混合A,混合型
000954,国泰睿吉灵活配置混合C,混合型
000955,南方产业活力,股票型
000958,东吴鼎元A,债券型
000959,东吴鼎元C,债券型
000960,招商医药健康产业股票,股票型
